altitude_km,T_K,P_Pa,M_molecule_cm-3
21.0,217.65,4677.89970545526,1.556714433430015e+18
21.5,218.15,4325.200955773032,1.43604414387402e+18
22.0,218.65,3999.8123347085043,1.3249724587233702e+18
22.5,219.15,3699.5638352831575,1.2227164855652964e+18
23.0,219.65,3422.462252035379,1.1285587609265574e+18
23.5,220.15,3166.6764210371657,1.0418416512110381e+18
24.0,220.65,2930.5237216357,9.619622439321527e+17
24.5,221.15,2712.4577295519193,8.883676853334449e+17
25.0,221.65,2511.056920841903,8.205509245096273e+17
25.5,222.15,2325.014335196566,7.580468277829792e+17
26.0,222.65,2153.1281152078227,7.004286303933018e+17
26.5,223.15,1994.2928456385705,6.473046955549862e+17
27.0,223.65,1847.491623470686,5.98315553652086e+17
27.5,224.15,1711.7887956317172,5.5313119680785235e+17
28.0,224.65,1586.3233068724878,5.114486063024427e+17
28.5,225.15,1470.3026053369945,4.72989492343439e+17
29.0,225.65,1362.9970579788776,4.37498227537787e+17
29.5,226.15,1263.7348321763086,4.047399570880239e+17
30.0,226.65,1171.897203719032,3.744988702566325e+17
30.5,227.15,1086.914254820568,3.465766190239434e+17
31.0,227.65,1008.2609289777447,3.2079087112061606e+17
31.5,228.15,935.4534123859071,2.969739857567415e+17
32.0,228.65,868.02,2.7496362419999872e+17
32.5,230.05,805.7209622613441,2.536758606309162e+17
33.0,231.45000000000002,748.2312419244446,2.3415065130432858e+17
33.5,232.85,695.1537829549105,2.1623269718943658e+17
34.0,234.25,646.1264146177373,1.9978119832276867e+17
34.5,235.65,600.8186036976233,1.846684248703653e+17
35.0,237.05,558.9285259031079,1.7077843635055328e+17
35.5,238.45000000000002,520.1804234518671,1.5800593290346125e+17
36.0,239.85,484.32221941385114,1.4625522432676842e+17
36.5,241.25,451.1233625623058,1.3543930421287326e+17
37.0,242.65,420.3728792979528,1.2547901794757387e+17
37.5,244.05,391.8776117109731,1.1630231458794173e+17
38.0,245.45000000000002,365.4606230659176,1.0784357374781096e+17
38.5,246.85,340.9597539687546,1.0004299960104982e+17
39.0,248.25,318.22631423146146,9.284607498112912e+16
39.5,249.65,297.12389701299116,8.620306932409278e+16
40.0,251.05,277.5273032081879,8.006859488281123e+16
40.5,252.45000000000002,259.32156529776097,7.44012062438108e+16
41.0,253.85,242.40106097981044,6.916303871315981e+16
41.5,255.25,226.66870789187027,6.431948161291602e+16
42.0,256.65,212.03523161524527,5.98388829515261e+16
42.5,258.05,198.41849994237842,5.569228230651096e+16
43.0,259.45,185.74291709354128,5.185316909122246e+16
43.5,260.85,173.93887220043405,4.829726367417978e+16
44.0,262.25,162.94223693957056,4.500231908373309e+16
44.5,263.65,152.69390770468016,4.1947941266221096e+16
45.0,265.05,143.13938816134305,3.911542607570651e+16
45.5,266.45,134.22840843422355,3.648761136063221e+16
46.0,267.85,125.91457754269106,3.404874267990791e+16
46.5,269.25,118.15506602877406,3.1784351330256656e+16
47.0,270.65,110.91,2.9681058929761224e+16
47.5,270.65,104.12653977788521,2.7865710605892504e+16
48.0,270.65,97.75796849802101,2.616139233471737e+16
48.5,270.65,91.77891078725484,2.456131331336948e+16
49.0,270.65,86.16554327707212,2.3059098077014412e+16
49.5,270.65,80.8954996801293,2.164876109600936e+16
50.0,270.65,75.94778167248116,2.0324682926747388e+16
50.5,270.65,71.30267522641556,1.9081587821160096e+16
51.0,270.65,66.94,1.791407523900655e+16
51.5,269.25,62.835533030105765,1.6903097979450644e+16
52.0,267.84999999999997,58.963280495525886,1.5944345796456436e+16
52.5,266.45,55.311216461033496,1.5035372866712984e+16
53.0,265.04999999999995,51.867879620645084,1.4173835986487086e+16
53.5,263.65,48.62234954707231,1.335749077147854e+16
54.0,262.25,45.56422382294147,1.2584187978486512e+16
54.5,260.84999999999997,42.683596025447876,1.1851869945596232e+16
55.0,259.45,39.97103453687232,1.115856714766543e+16
55.5,258.04999999999995,37.417562154140796,1.050239486396175e+16
56.0,256.65,35.01463647134552,9881549954872850.0
56.5,255.24999999999997,32.7541310098571,9294307744677916.0
57.0,253.84999999999997,30.628317071366737,8739019007438701.0
57.5,252.45,28.629846289877527,8214107053132810.0
58.0,251.04999999999998,26.75173385933835,7718064911218264.0
58.5,249.64999999999998,24.987342414268152,7249452608881955.0
59.0,248.24999999999997,23.330366541357936,6806894541287403.0
59.5,246.84999999999997,21.77481790066552,6389076931199460.0
60.0,245.45,20.315010935627484,5994745375423851.0
60.5,244.04999999999998,18.945549151710942,5622702475559413.0
61.0,242.64999999999998,17.661311944111183,5271805550619451.0
61.5,241.24999999999997,16.457441955469452,4940964429135901.0
62.0,239.84999999999997,15.329332945142607,4629139318416815.0
62.5,238.45,14.272618152098369,4335338748682937.5
63.0,237.04999999999998,13.283159134039927,4058617589863638.5
63.5,235.64999999999998,12.357035065881277,3798075138886038.5
64.0,234.24999999999997,11.490532481198354,3552853275343381.0
64.5,232.84999999999997,10.68013544077471,3322134683480535.0
65.0,231.45,9.922516112839684,3105141138484721.0
65.5,230.04999999999998,9.214525750066278,2901131855119351.5
66.0,228.64999999999998,8.553186048852954,2709401896787488.5
66.5,227.24999999999997,7.935680876858643,2529280643159030.5
67.0,225.84999999999997,7.359348355195376,2360130314542705.0
67.5,224.45,6.821673282106121,2201344551229757.5
68.0,223.04999999999998,6.320279885368282,2052347046081265.8
68.5,221.64999999999998,5.852924891065855,1912590228675215.5
69.0,220.24999999999997,5.417490896764773,1781553999372618.2
69.5,218.84999999999997,5.011980037508476,1658744511704571.2
70.0,217.45,4.6345079334221415,1543693001523553.5
70.5,216.04999999999998,4.283297908076691,1435954661403144.8
71.0,214.65,3.96,1336229361449712.8
71.5,213.65,3.6564055868413403,1239561800148629.5
72.0,212.65,3.374823174343794,1149482471131923.5
72.5,211.65,3.1137492092507193,1065570220502980.1
73.0,210.65,2.8717764695371923,987429019582962.1
73.5,209.65,2.647588304472524,914686574190632.5
74.0,208.65,2.439953194229622,846993004856102.4
74.5,207.65,2.2477196127055303,784019594661729.9
75.0,206.65,2.069811177980525,725457601542840.4
75.5,205.65,1.9052220755742337,671017132015198.4
76.0,204.65,1.7530127403573024,620426073425374.2
76.5,203.65,1.6123057836471042,573429081944346.2
77.0,202.65,1.4822821526573446,529786623644181.1
77.5,201.65,1.3621775100852547,489274066112579.7
78.0,200.65,1.2512788222070013,451680818170469.25
78.5,199.65,1.1489211444137466,416809515364067.56
79.0,198.65,1.0544845936577052,384475249004837.3
79.5,197.65,0.9673914977910287,354504836628794.25
80.0,196.65,0.8871037122712161,326736131840832.9
80.5,195.65,0.813120095175695,301017371600160.06
81.0,194.65,0.7449741319163662,277206559089785.47
81.5,193.65,0.682231701473009,255170880396424.1
82.0,192.65,0.6244889763731356,234786153307166.94
82.5,191.65,0.5713704490362715,215936306606115.53
83.0,190.65,0.5225270774731289,198512888327845.75
83.5,189.65,0.4776345436856715,182414601495254.4
84.0,188.65,0.43639161845331115,167546865937146.84
84.5,187.65,0.39851862651397485,153821404845906.97
85.0,186.87,0.36343251508349783,140864290218869.16
85.5,186.87,0.3316851511103615,128559199983977.83
86.0,186.87,0.30271105336248644,117329011311814.42
