wavelength_nm,cross_section_cm2,source
109.93,1.94e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.95,2.03e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.96,2.14e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.98,2.28e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.0,2.44e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.02,2.59e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.05,2.77e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.07,3.01e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.08,3.22e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.1,3.46e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.12,3.71e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.15,4.02e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.18,4.31e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.2,4.58e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.24,4.88e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.27,5.05e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.32,5.15e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.4,5.05e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.43,4.87e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.46,4.64e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.5,4.39e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.55,4.19e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.6,4.03e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.67,3.93e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.77,3.96e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.83,4e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.92,3.92e-17,N2O_Nee(1999)_298K_100-212nm.txt
110.99,3.84e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.07,3.76e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.14,3.66e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.19,3.49e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.22,3.3e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.26,3.11e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.3,2.92e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.34,2.71e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.4,2.51e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.43,2.36e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.48,2.27e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.55,2.18e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.62,2.11e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.71,2.05e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.79,1.99e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.83,1.96e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.9,1.94e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.97,1.96e-17,N2O_Nee(1999)_298K_100-212nm.txt
111.99,2.01e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.01,2.06e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.04,2.15e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.06,2.26e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.09,2.36e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.12,2.48e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.15,2.6e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.19,2.71e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.21,2.78e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.25,2.82e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.3,2.78e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.32,2.71e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.34,2.62e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.37,2.5e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.4,2.38e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.41,2.28e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.43,2.17e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.45,2.04e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.47,1.93e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.5,1.8e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.53,1.68e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.56,1.57e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.6,1.47e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.64,1.39e-17,N2O_Nee(1999)_298K_100-212nm.txt
