wavelength_nm,cross_section_cm2,source
402.0,5.99e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
404.0,5.68e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
406.0,5.13e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
408.0,4.81e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
410.0,4.44e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
412.0,4.13e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
414.0,3.73e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
416.0,3.56e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
416.0,3.56e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
418.0,3.17e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
418.0,3.17e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
420.0,3.16e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
420.0,3.16e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
422.0,2.75e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
422.0,2.75e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
424.0,2.42e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
424.0,2.42e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
426.0,2.22e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
426.0,2.22e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
428.0,2.07e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
428.0,2.07e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
430.0,1.89e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
430.0,1.89e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
432.0,1.88e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
432.0,1.88e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
